
iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
39 4391.11 0.8479 -4.99474 8.34925 0.00381216 -0.000148791 0.00226217 -0.498943 3.43679 -11.024 110.104 -318.275 96.6195 
40 4388 0.856745 -5.073 8.61287 0.00379415 -0.000159611 0.00227306 -0.611549 3.456 -10.5367 222.354 -635.667 193.649 
41 4382.16 0.874435 -5.22951 9.14009 0.00375812 -0.000181253 0.00229483 -0.83677 3.4944 -9.56232 447.143 -1270.33 387.77 
42 4372.02 0.909814 -5.54254 10.1945 0.00368606 -0.000224535 0.00233838 -1.28725 3.57118 -7.61354 897.876 -2539.14 776.257 
43 4357.9 0.980574 -6.1686 12.3035 0.00354193 -0.0003111 0.00242548 -2.18837 3.72457 -3.71621 1803.96 -5074.74 1554.21 
44 4354.31 1.12209 -7.42072 16.5213 0.00325369 -0.00048423 0.00259968 -3.99124 4.03077 4.07755 3634.59 -10137.9 3114.03 
45 4351.8 1.0668 -6.9315 14.8733 0.00336631 -0.000416587 0.00253162 -3.28675 3.91123 1.03259 2916.41 -8160.93 2503.97 
46 4351.16 1.07026 -6.96216 14.9766 0.00331284 -0.000290954 0.00249604 -1.8986 4.47068 1.34073 -186.698 307.485 1215.09 
47 4350.98 1.0712 -6.97042 15.0044 0.00333893 -0.000323698 0.00222215 -1.86461 4.56026 1.38679 -365.051 -135.664 -21.5645 
48 4350.98 1.0712 -6.97042 15.0044 0.00334457 -0.000321603 0.00222248 -1.84271 4.50002 1.39754 -1.0316 2.11546 8.1986 

iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
1 4325.55 1.0712 -6.97042 15.0044 0.00456002 -0.000321292 0.00241001 0.269696 2.21643 -13.0646 608.916 -176.617 -2146.94 
2 4325 1.0712 -6.97042 15.0044 0.00449869 -0.00028199 0.00289896 -0.0070545 2.18075 -13.0965 263.249 -658.679 86.0047 
3 4325 1.0712 -6.97042 15.0044 0.00449421 -0.000271474 0.00290054 0.101591 2.22611 -13.0881 0.0874391 0.335271 0.0136453 
4 4325 1.0712 -6.97043 15.0044 0.00449404 -0.000271541 0.00290056 0.100863 2.22789 -13.0884 -10.6243 -4.11594 -0.701459 
5 4325 1.0712 -6.97043 15.0045 0.0044937 -0.000271673 0.00290059 0.0994051 2.23144 -13.0891 -32.0476 -13.0184 -2.13167 
6 4325 1.0712 -6.97044 15.0045 0.00449301 -0.000271937 0.00290067 0.0964901 2.23856 -13.0903 -74.8944 -30.8232 -4.99208 
7 4325 1.0712 -6.97045 15.0046 0.00449164 -0.000272465 0.00290082 0.0906601 2.25278 -13.0928 -160.588 -66.4329 -10.7129 
8 4325 1.0712 -6.97048 15.0048 0.0044889 -0.000273522 0.00290111 0.0790002 2.28124 -13.0978 -331.975 -137.652 -22.1546 
9 4324.99 1.07119 -6.97055 15.0052 0.00448341 -0.000275636 0.00290171 0.0556803 2.33814 -13.1078 -674.749 -280.091 -45.0379 
10 4324.99 1.07119 -6.97056 15.0053 0.00448177 -0.000276269 0.00290188 0.0486888 2.3552 -13.1108 -777.516 -322.795 -51.8985 
11 4324.99 1.07119 -6.97058 15.0054 0.00448173 -0.000276236 0.00290217 0.0486333 2.35518 -13.1106 -777.564 -322.285 -50.6555 
12 4324.99 1.07119 -6.97062 15.0056 0.00448165 -0.00027617 0.00290274 0.0485222 2.35513 -13.1101 -777.66 -321.265 -48.1695 
13 4324.98 1.07119 -6.97069 15.006 0.00448149 -0.000276038 0.00290388 0.0483001 2.35504 -13.1093 -777.853 -319.224 -43.1976 
14 4324.97 1.07118 -6.97084 15.0069 0.00448118 -0.000275773 0.00290615 0.0478558 2.35485 -13.1076 -778.239 -315.142 -33.2538 
